GSM,GSE,Cell Type,In Situ Site,Disease,PubMed ID,Release Date,FRiP,Number of Peaks,Motif Overlap Ratio
GSM3192045,GSE115862,HEK-293T,Fetal kidney,,30955885,4/15/19,0.087,36508,0.896
GSM3211732,GSE111170,GM09236,Peripheral blood,B-lymphocytes,,8/29/18,0.163,54767,0.831
GSM3211733,GSE111170,GM09236,Peripheral blood,B-lymphocytes,,8/29/18,0.156,51152,0.841
GSM3211736,GSE111170,GM09237,Peripheral blood,B-lymphocytes,,8/29/18,0.223,54356,0.828
GSM3211737,GSE111170,GM09237,Peripheral blood,B-lymphocytes,,8/29/18,0.205,60182,0.813
GSM3211740,GSE111170,GM04025,"Peripheral blood, B-lymphocytes",Fragile X syndrome,,8/29/18,0.142,53152,0.831
GSM3211741,GSE111170,GM04025,"Peripheral blood, B-lymphocytes",Fragile X syndrome,,8/29/18,0.158,50031,0.84
GSM3212925,GSE116193,LCL1,Peripheral blood,lymphoblastoid cell lines (LCLs),30046115,6/25/18,0.124,23011,0.691
GSM3212927,GSE116193,LCL1,Peripheral blood,lymphoblastoid cell lines (LCLs),30046115,6/25/18,0.065,18177,0.667
GSM325895,GSE12889,T-cell,Peripheral blood,,19056695,10/20/08,0.248,21837,0.908
GSM325899,GSE12889,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",19056695,10/20/08,0.047,10915,0.952
GSM3262291,GSE116825,cortex,Cortex,,32592681,7/31/20,0.029,12142,0.83
GSM3262294,GSE116825,cortex,Cortex,,32592681,7/31/20,0.1,24003,0.663
GSM3263064,GSE116862,H9,Embryonic stem cell,,31427791;32111823;36817700,7/9/19,0.086,42771,0.857
GSM3263065,GSE116862,H9,Embryonic stem cell,,31427791;32111823;36817700,7/9/19,0.165,57776,0.814
GSM3263066,GSE116862,mesoderm,Mesoderm,,31427791;32111823;36817700,7/9/19,0.071,32108,0.899
GSM3263067,GSE116862,mesoderm,Mesoderm,,31427791;32111823;36817700,7/9/19,0.12,39474,0.85
GSM3263068,GSE116862,cardiac_mesoderm,Cardiac mesoderm,,31427791;32111823;36817700,7/9/19,0.127,36885,0.862
GSM3263069,GSE116862,cardiac_mesoderm,Cardiac mesoderm,,31427791;32111823;36817700,7/9/19,0.191,41997,0.848
GSM3263070,GSE116862,cardiac_progenitor,Cardiac progenitor,,31427791;32111823;36817700,7/9/19,0.096,28154,0.911
GSM3263071,GSE116862,cardiac_progenitor,Cardiac progenitor,,31427791;32111823;36817700,7/9/19,0.127,36047,0.873
GSM3263072,GSE116862,primitive_cardiomyocite ,Primitive cardiomyocite ,,31427791;32111823;36817700,7/9/19,0.108,36546,0.881
GSM3263073,GSE116862,primitive_cardiomyocite ,Primitive cardiomyocite ,,31427791;32111823;36817700,7/9/19,0.098,31411,0.897
GSM3263074,GSE116862,ventricular_cardiomyocyte,Ventricular cardiomyocyte,,31427791;32111823;36817700,7/9/19,0.099,30654,0.856
GSM3263165,GSE116876,MDA-MB-157,Breast,Breast carcinoma,30745086,2/27/19,0.353,49277,0.819
GSM3263166,GSE116876,MDA-MB-157,Breast,Breast carcinoma,30745086,2/27/19,0.224,40658,0.852
GSM3302073,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.328,80663,0.717
GSM3302074,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.41,79116,0.734
GSM3302075,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.358,73920,0.726
GSM3302076,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.416,60426,0.768
GSM3302077,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.419,78327,0.739
GSM3302078,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.451,80188,0.719
GSM3302079,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.343,68119,0.743
GSM3302080,GSE117513,interneurons,Interneurons,,32526163,6/12/20,0.358,73688,0.739
GSM3312803,GSE117865,SEM,Peripheral blood,"Childhood B acute lymphoblastic leukemia, B-lymphoblastic leukemia/lymphoma with t(v;11q23.3), B acute lymphoblastic leukemia with t(v;11q23.3) MLL rearranged",31243293,5/30/19,0.223,46688,0.813
GSM3319929,GSE102019,MDA-MB-435,"Metastatic; Right buttock, hypodermis",Amelanotic melanoma,,12/31/19,0.108,39063,0.889
GSM3319930,GSE102019,MDA-MB-435,"Metastatic; Right buttock, hypodermis",Amelanotic melanoma,,12/31/19,0.033,25859,0.932
GSM3324478,GSE118305,macrophage,Macrophage,,30206152;36097162,9/10/18,0.067,27495,0.913
GSM3324479,GSE118305,macrophage,Macrophage,,30206152;36097162,9/10/18,0.024,16521,0.946
GSM3324480,GSE118305,macrophage,Macrophage,,30206152;36097162,9/10/18,0.042,22059,0.936
GSM3326010,GSE113042,TTC-1240,Metastatic; Brain,"Rhabdoid tumor, Rhabdoid tumor of the kidney",30397315,11/4/18,0.472,72372,0.789
GSM3329931,GSE104988,MCF-7,Breast,Invasive breast carcinoma of no special type,30472020,10/3/18,0.042,17183,0.695
GSM3329932,GSE104988,MCF-7,Breast,Invasive breast carcinoma of no special type,30472020,10/3/18,0.117,35384,0.695
GSM3329934,GSE104988,FULVR,Breast,breast cancer cells,30472020,10/3/18,0.061,27336,0.585
GSM3329935,GSE104988,FULVR,Breast,breast cancer cells,30472020,10/3/18,0.042,18798,0.607
GSM3336886,GSE118716,MCF-7,Breast,Invasive breast carcinoma of no special type,31949157;38448820,12/11/19,0.088,45514,0.87
GSM3336887,GSE118716,MCF-7,Breast,Invasive breast carcinoma of no special type,31949157;38448820,12/11/19,0.08,39218,0.875
GSM3395074,GSE120162,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,31759822,11/21/19,0.098,39370,0.888
GSM3395079,GSE120162,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,31759822,11/21/19,0.069,46420,0.859
GSM3415544,GSE111924,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,30523037,11/23/18,0.104,37887,0.81
GSM3415545,GSE111924,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,30523037,11/23/18,0.123,40619,0.848
GSM3415546,GSE111924,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,30523037,11/23/18,0.056,23329,0.781
GSM3415547,GSE111924,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,30523037,11/23/18,0.05,21391,0.816
GSM3415548,GSE111924,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,30523037,11/23/18,0.148,46488,0.814
GSM3415549,GSE111924,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,30523037,11/23/18,0.086,39020,0.803
GSM3424002,GSE121021,DU145,Metastatic; Brain,Prostate carcinoma,32343676,4/27/20,0.059,34753,0.904
GSM3430758,GSE121282,Kasumi-1,Peripheral blood,"Acute myeloblastic leukemia with maturation, Childhood acute myeloid leukemia with maturation",31533028,11/11/19,0.107,35843,0.872
GSM3430759,GSE121282,Kasumi-1,Peripheral blood,"Acute myeloblastic leukemia with maturation, Childhood acute myeloid leukemia with maturation",31533028,11/11/19,0.087,30822,0.894
GSM3439930,GSE121601,GBM,Brain,Glioblastoma,31249064,6/6/19,0.324,48039,0.829
GSM3439931,GSE121601,GBM,Brain,Glioblastoma,31249064,6/6/19,0.405,51669,0.825
GSM3439933,GSE121601,GBM,Brain,Glioblastoma,31249064,6/6/19,0.393,46193,0.853
GSM3439934,GSE121601,GBM,Brain,Glioblastoma,31249064,6/6/19,0.346,46229,0.849
GSM3439936,GSE121601,GBM,Brain,Glioblastoma,31249064,6/6/19,0.443,59661,0.809
GSM3439937,GSE121601,GBM,Brain,Glioblastoma,31249064,6/6/19,0.456,62486,0.81
GSM3452774,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.407,50449,0.831
GSM3452775,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.393,50939,0.826
GSM3452776,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.376,50994,0.826
GSM3452777,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.417,49652,0.835
GSM3452778,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.42,53096,0.821
GSM3452779,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.387,53778,0.818
GSM3452786,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.314,46633,0.838
GSM3452787,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.354,46725,0.835
GSM3452788,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.367,45098,0.841
GSM3452789,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.332,44086,0.845
GSM3452790,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.309,37772,0.883
GSM3452791,GSE121998,HEK-293,Fetal kidney,,31534142,8/7/19,0.296,36749,0.888
GSM3466332,GSE108869,HeLa,"Uterus, cervix",Human papillomavirus-related cervical adenocarcinoma,30948729,1/12/19,0.202,54945,0.809
GSM3466810,GSE122463,HT-1080,"Bone, pelvis, acetabulum",Fibrosarcoma,30926878,2/18/19,0.171,66983,0.777
GSM3466811,GSE122463,HT-1080,"Bone, pelvis, acetabulum",Fibrosarcoma,30926878,2/18/19,0.113,41496,0.881
GSM3466812,GSE122463,HT-1080,"Bone, pelvis, acetabulum",Fibrosarcoma,30926878,2/18/19,0.211,78907,0.739
GSM3466813,GSE122463,HT-1080,"Bone, pelvis, acetabulum",Fibrosarcoma,30926878,2/18/19,0.112,42137,0.88
GSM3498320,GSE123200,OCI-Ly1,Bone marrow,Diffuse large B-cell lymphoma,22955616,12/3/18,0.258,69058,0.781
GSM3498321,GSE123200,OCI-Ly1,Bone marrow,Diffuse large B-cell lymphoma,22955616,12/3/18,0.062,34258,0.896
GSM3498323,GSE123202,neural_progenitor,Neural progenitor,,22955616,12/3/18,0.251,64721,0.786
GSM3498324,GSE123202,neural_progenitor,Neural progenitor,,22955616,12/3/18,0.137,54327,0.823
GSM3498325,GSE123202,neural_progenitor,Neural progenitor,,22955616,12/3/18,0.265,69255,0.775
GSM3498329,GSE123205,HCT-116,Colon,Colon carcinoma,22955616,12/3/18,0.209,58630,0.802
GSM3498330,GSE123205,HCT-116,Colon,Colon carcinoma,22955616,12/3/18,0.171,55348,0.806
GSM3498385,GSE123210,PC-3,Prostate,Homo sapiens PC-3 immortalized cell line,22955616,12/3/18,0.208,53030,0.838
GSM3498386,GSE123210,PC-3,Prostate,Homo sapiens PC-3 immortalized cell line,22955616,12/3/18,0.197,72116,0.775
GSM3498389,GSE123213,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",22955616,12/3/18,0.134,31225,0.889
GSM3498390,GSE123213,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",22955616,12/3/18,0.111,29200,0.876
GSM3498391,GSE123214,Loucy,Peripheral blood,"Precursor T-cell acute lymphoblastic leukemia, Adult T acute lymphoblastic leukemia",22955616,12/3/18,0.243,67529,0.773
GSM3498392,GSE123214,Loucy,Peripheral blood,"Precursor T-cell acute lymphoblastic leukemia, Adult T acute lymphoblastic leukemia",22955616,12/3/18,0.187,56471,0.815
GSM3498397,GSE123217,SK-N-SH,Metastatic; Bone marrow,Neuroblastoma,22955616,12/3/18,0.303,47989,0.84
GSM3498398,GSE123217,SK-N-SH,Metastatic; Bone marrow,Neuroblastoma,22955616,12/3/18,0.268,56439,0.798
GSM3498401,GSE123219,MCF-7,Breast,Invasive breast carcinoma of no special type,22955616,12/3/18,0.15,49921,0.844
GSM3498402,GSE123219,MCF-7,Breast,Invasive breast carcinoma of no special type,22955616,12/3/18,0.235,68214,0.788
GSM3498405,GSE123221,A-673,Muscle,Ewing sarcoma,22955616,12/3/18,0.165,54721,0.817
GSM3498406,GSE123221,A-673,Muscle,Ewing sarcoma,22955616,12/3/18,0.368,55187,0.824
GSM3498411,GSE123224,cardiac_muscle,Cardiac muscle,,22955616,12/3/18,0.17,45311,0.851
GSM3498412,GSE123225,OCI-Ly3,Bone marrow,"Diffuse large B-cell lymphoma activated B-cell type, Diffuse large B-cell lymphoma",22955616,12/3/18,0.237,62980,0.805
GSM3498413,GSE123225,OCI-Ly3,Bone marrow,"Diffuse large B-cell lymphoma activated B-cell type, Diffuse large B-cell lymphoma",22955616,12/3/18,0.22,54408,0.832
GSM3498432,GSE123234,GM23338,"Arm, skin",,22955616,12/3/18,0.217,65888,0.788
GSM3498433,GSE123234,GM23338,"Arm, skin",,22955616,12/3/18,0.18,61777,0.796
GSM3509945,GSE123711,keratinocytes,"Foreskin, keratinocytes",,31164150,6/21/19,0.012,11486,0.944
GSM3509948,GSE123711,keratinocytes,"Foreskin, keratinocytes",,31164150,6/21/19,0.012,12256,0.939
GSM3509951,GSE123711,keratinocytes,"Foreskin, keratinocytes",,31164150,6/21/19,0.016,14451,0.941
GSM3539018,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.049,29930,0.921
GSM3539022,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.034,24342,0.933
GSM3539025,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.032,24201,0.934
GSM3539027,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.03,22275,0.939
GSM3539031,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.046,28542,0.926
GSM3539034,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.052,32698,0.917
GSM3539042,GSE124667,MCF-7,Breast,Invasive breast carcinoma of no special type,31372638,1/4/20,0.041,28662,0.924
GSM3579302,GSE125641,LNCaP,Prostate,Prostate carcinoma,31911579,11/18/19,0.081,34408,0.86
GSM3579303,GSE125641,LNCaP,Prostate,Prostate carcinoma,31911579,11/18/19,0.101,40434,0.803
GSM3579310,GSE125641,IMR-90,Fetal lung,,31911579,11/18/19,0.085,30906,0.832
GSM3579311,GSE125641,IMR-90,Fetal lung,,31911579,11/18/19,0.101,31166,0.834
GSM3585053,GSE125926,erythroid,Erythroid,,35710802;33113553,6/23/22,0.021,21949,0.925
GSM3585058,GSE125926,erythroid,Erythroid,,35710802;33113553,6/23/22,0.023,21617,0.927
GSM3585063,GSE125926,erythroid,Erythroid,,35710802;33113553,6/23/22,0.023,20819,0.928
GSM3591389,GSE126083,697,Bone marrow,B acute lymphoblastic leukemia,30902546,2/6/19,0.32,76843,0.758
GSM3591390,GSE126083,697,Bone marrow,B acute lymphoblastic leukemia,30902546,2/6/19,0.349,70073,0.77
GSM3612215,GSE126758,neutrophil,Neutrophil,,31919189,3/14/19,0.093,29068,0.72
GSM3612216,GSE126758,neutrophil,Neutrophil,,31919189,3/14/19,0.04,12061,0.882
GSM3612217,GSE126758,neutrophil,Neutrophil,,31919189,3/14/19,0.098,17476,0.843
GSM3612218,GSE126758,neutrophil,Neutrophil,,31919189,3/14/19,0.029,12502,0.935
GSM3612219,GSE126758,neutrophil,Neutrophil,,31919189,3/14/19,0.151,38371,0.705
GSM3619487,GSE126990,HeLa,"Uterus, cervix",Human papillomavirus-related cervical adenocarcinoma,31204999,11/21/19,0.132,53159,0.845
GSM3634158,GSE127359,heart_left_ventricle,Heart left ventricle,,22955616,3/3/19,0.249,51760,0.73
GSM3634191,GSE127378,right_atrium_auricular_region,Right atrium auricular region,,22955616,3/3/19,0.035,17531,0.923
GSM3634270,GSE127422,thoracic_aorta,Thoracic aorta,,22955616,3/3/19,0.129,32557,0.811
GSM3634271,GSE127422,thoracic_aorta,Thoracic aorta,,22955616,3/3/19,0.132,31626,0.813
GSM3634304,GSE127433,gastroesophageal_sphincter,Gastroesophageal sphincter,,22955616,3/3/19,0.234,52927,0.695
GSM3635390,GSE127477,coronary_artery,Coronary artery,,22955616,3/3/19,0.137,34431,0.809
GSM3635793,GSE127521,gastroesophageal_sphincter,Gastroesophageal sphincter,,22955616,3/3/19,0.251,53102,0.698
GSM3636075,GSE127549,liver,Liver,,22955616,3/3/19,0.187,39844,0.837
GSM3636076,GSE127549,liver,Liver,,22955616,3/3/19,0.088,31908,0.864
GSM3636093,GSE127553,heart_left_ventricle,Heart left ventricle,,22955616,3/3/19,0.205,45725,0.771
GSM3636177,GSE127577,WA01,Blastocyst,,22955616,3/3/19,0.329,57543,0.694
GSM3636178,GSE127577,WA01,Blastocyst,,22955616,3/3/19,0.342,40000,0.786
GSM3636209,GSE127595,RWPE-2,"Prostate, epithelium",,22955616,3/3/19,0.271,57900,0.82
GSM3636210,GSE127595,RWPE-2,"Prostate, epithelium",,22955616,3/3/19,0.234,45840,0.848
GSM3671075,GSE104676,HUDEP-2,Umbilical cord blood,,29606353,3/30/18,0.158,46165,0.849
GSM3671692,GSE128346,A-375,"Leg, skin",Amelanotic melanoma,31078526,3/16/19,0.027,18765,0.935
GSM3673908,GSE116825,cortex,Cortex,,32592681,7/31/20,0.039,10436,0.792
GSM3673914,GSE116825,cortex,Cortex,,32592681,7/31/20,0.029,12684,0.628
GSM3715311,GSE129548,HEK-293T,Fetal kidney,,31547883,9/23/19,0.034,12740,0.814
GSM3715312,GSE129548,HEK-293T,Fetal kidney,,31547883,9/23/19,0.052,25669,0.93
GSM3715313,GSE129548,HEK-293T,Fetal kidney,,31547883,9/23/19,0.027,19367,0.943
GSM3720521,GSE129703,Mutu-LCL,Peripheral blood,,32054837,11/14/19,0.102,23217,0.863
GSM3732739,GSE130140,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.05,24849,0.936
GSM3732740,GSE130140,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.103,33312,0.9
GSM3732743,GSE130140,CUTLL1,Pleural effusion,"Childhood T lymphoblastic lymphoma, T-cell non-Hodgkin lymphoma",32933554,8/19/20,0.024,14257,0.951
GSM3732744,GSE130140,CUTLL1,Pleural effusion,"Childhood T lymphoblastic lymphoma, T-cell non-Hodgkin lymphoma",32933554,8/19/20,0.035,16892,0.943
GSM3732747,GSE130140,CUTLL1,Pleural effusion,"Childhood T lymphoblastic lymphoma, T-cell non-Hodgkin lymphoma",32933554,8/19/20,0.096,32493,0.87
GSM3732749,GSE130140,CUTLL1,Pleural effusion,"Childhood T lymphoblastic lymphoma, T-cell non-Hodgkin lymphoma",32933554,8/19/20,0.122,45444,0.797
GSM3732751,GSE130140,T-ALL,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.117,39828,0.875
GSM3732752,GSE130140,T-ALL,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.108,38616,0.879
GSM3732754,GSE130140,T-ALL,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.045,25659,0.93
GSM3732755,GSE130140,T-ALL,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.045,25656,0.93
GSM3732757,GSE130140,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.019,18604,0.94
GSM3732758,GSE130140,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.022,21047,0.936
GSM3732761,GSE130140,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.025,19764,0.939
GSM3732765,GSE130140,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",32933554,8/19/20,0.028,22027,0.934
GSM3755264,GSE130852,MCF-7,Breast,Invasive breast carcinoma of no special type,31292138,5/9/19,0.054,60099,0.818
GSM3755265,GSE130852,MCF-7,Breast,Invasive breast carcinoma of no special type,31292138,5/9/19,0.076,74843,0.764
GSM3762801,GSE131055,CD34,Cord blood,Hematopietic stem cell,33512425,1/18/21,0.121,49102,0.755
GSM3762802,GSE131055,CD34,Cord blood,Hematopietic stem cell,33512425,1/18/21,0.138,49015,0.756
GSM3762803,GSE131055,HUDEP-2,Umbilical cord blood,,33512425,1/18/21,0.157,45539,0.784
GSM3762804,GSE131055,HUDEP-2,Umbilical cord blood,,33512425,1/18/21,0.174,42979,0.796
GSM3762814,GSE131055,HUDEP-2,Umbilical cord blood,,33512425,1/18/21,0.104,36957,0.847
GSM3762819,GSE131055,HUDEP-2,Umbilical cord blood,,33512425,1/18/21,0.153,44435,0.837
GSM3770800,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.237,45855,0.853
GSM3770801,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.176,38770,0.877
GSM3770802,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.224,37003,0.884
GSM3770803,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.168,36757,0.888
GSM3770804,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.202,40109,0.873
GSM3770805,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.081,29324,0.917
GSM3770806,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.187,41567,0.868
GSM3770807,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.182,36649,0.889
GSM3770808,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.208,41912,0.865
GSM3770809,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.213,44157,0.857
GSM3770810,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.206,40288,0.874
GSM3770811,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.213,42886,0.865
GSM3770812,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.204,38353,0.875
GSM3770813,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.164,38356,0.874
GSM3770814,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.188,39780,0.867
GSM3770815,GSE131349,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31492858,7/1/19,0.162,31325,0.9
GSM3790845,GSE131606,HCT-116,Colon,Colon carcinoma,32333838,3/18/20,0.277,69789,0.76
GSM3790851,GSE131606,colon,Colon,,32333838,3/18/20,0.301,87352,0.711
GSM3791747,GSE131651,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",31649247,9/3/19,0.29,39480,0.862
GSM3791748,GSE131651,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",31649247,9/3/19,0.205,39154,0.865
GSM3791749,GSE131651,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",31649247,9/3/19,0.228,39420,0.842
GSM3791750,GSE131651,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",31649247,9/3/19,0.247,28365,0.893
GSM3791751,GSE131651,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",31649247,9/3/19,0.208,38898,0.841
GSM3791752,GSE131651,KMS-11,Pleural effusion,"Multiple myeloma, Plasma cell myeloma",31649247,9/3/19,0.273,39862,0.837
GSM3830028,GSE131931,FT282,Fallopian tube,,31292201,7/1/19,0.245,41167,0.874
GSM3830029,GSE131931,FT282,Fallopian tube,,31292201,7/1/19,0.272,48207,0.846
GSM3832719,GSE131956,brain,Brain,,31748743,12/31/19,0.153,35754,0.878
GSM3832720,GSE131956,brain,Brain,,31748743,12/31/19,0.123,32014,0.896
GSM3854065,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.152,35263,0.873
GSM3854066,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.144,32515,0.883
GSM3854081,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.144,35817,0.878
GSM3854082,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.136,32909,0.889
GSM3854097,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.122,31582,0.894
GSM3854098,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.122,31861,0.885
GSM3854113,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.149,35411,0.88
GSM3854114,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.151,35905,0.882
GSM3854129,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.083,21887,0.922
GSM3854130,GSE132216,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",31980609,1/26/20,0.098,28816,0.9
GSM3901130,GSE133228,A-673,Muscle,Ewing sarcoma,33930311,4/29/21,0.321,61109,0.812
GSM3901139,GSE133228,A-673,Muscle,Ewing sarcoma,33930311,4/29/21,0.384,79029,0.77
GSM3901148,GSE133228,A-673,Muscle,Ewing sarcoma,33930311,4/29/21,0.374,75622,0.773
GSM3901157,GSE133228,A-673,Muscle,Ewing sarcoma,33930311,4/29/21,0.396,75788,0.777
GSM3901166,GSE133228,TC-71,"Bone, humerus",Ewing sarcoma,33930311,4/29/21,0.421,58229,0.823
GSM3901174,GSE133228,TC-71,"Bone, humerus",Ewing sarcoma,33930311,4/29/21,0.429,57522,0.825
GSM3901183,GSE133228,TC-71,"Bone, humerus",Ewing sarcoma,33930311,4/29/21,0.439,59429,0.809
